input,output,name,grade
latex2nemeth: 11.52 - 6.55 - 33.96 - 15.23,⠇⠩⠼⠂⠂⠨⠢⠆⠤⠼⠖⠨⠢⠢⠤⠼⠒⠒⠨⠔⠖⠤⠼⠂⠢⠨⠆⠒⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: 81,⠇⠩⠼⠦⠂⠇⠱,Double Digits,Elementary
latex2nemeth: \frac-b F + 6 \frac-separator 10 \frac-e \geq 3,⠇⠩⠹⠠⠋⠬⠖⠌⠂⠴⠼ ⠨⠂⠱ ⠒⠇⠱,Fraction Inequality,High
latex2nemeth: -4\superscript-b 121 \superscript-e,⠇⠩⠤⠼⠲⠘⠂⠆⠂⠐⠇⠱,Power,Middle
latex2nemeth: t - C - X - p,⠇⠩⠞⠤⠠⠉⠤⠠⠭⠤⠏⠇⠱,Subtraction Variables,Middle
latex2nemeth: .33,⠇⠩⠼⠨⠒⠒⠇⠱,Decimal starting with point,Elementary
latex2nemeth: \frac-b 2 \frac-separator 3 \frac-e + \frac-b 1 \frac-separator 5 \frac-e + \frac-b 7 \frac-separator 9 \frac-e + \frac-b 1 \frac-separator 2 \frac-e,⠇⠩⠹⠆⠌⠒⠼⠬⠹⠂⠌⠢⠼⠬⠹⠶⠌⠔⠼⠬⠹⠂⠌⠆⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: -87 \times -4,⠇⠩⠤⠼⠦⠶⠈⠡⠤⠼⠲⠇⠱,Multiplication,Elementary
latex2nemeth: 79.87 - 89.18 - 83.57 - 87.4,⠇⠩⠼⠶⠔⠨⠦⠶⠤⠼⠦⠔⠨⠂⠦⠤⠼⠦⠒⠨⠢⠶⠤⠼⠦⠶⠨⠲⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: 0.14 \times 6.87,⠇⠩⠼⠴⠨⠂⠲⠈⠡⠼⠖⠨⠦⠶⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: 40!,⠇⠩⠼⠲⠴⠯⠇⠱,Factorial,Middle
latex2nemeth: 3.73 \times 7.39 \times 5.05 \times 2.1,⠇⠩⠼⠒⠨⠶⠒⠈⠡⠼⠶⠨⠒⠔⠈⠡⠼⠢⠨⠴⠢⠈⠡⠼⠆⠨⠂⠇⠱,Multi-Term Multiplication Decimals,Elementary
latex2nemeth: 4.66 \div 5.56 \div 3.05 \div 5.91,⠇⠩⠼⠲⠨⠖⠖⠨⠌⠼⠢⠨⠢⠖⠨⠌⠼⠒⠨⠴⠢⠨⠌⠼⠢⠨⠔⠂⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: |18|,⠇⠩⠳⠂⠦⠳⠇⠱,Absolute Value,Elementary
latex2nemeth: |h - 6| \leq 5,⠇⠩⠳⠓⠤⠖⠳⠼⠢⠇⠱,Absolute Value Inequality,High
latex2nemeth: 56.73 - 51.71 - 5.96 - 56.44,⠇⠩⠼⠢⠖⠨⠶⠒⠤⠼⠢⠂⠨⠶⠂⠤⠼⠢⠨⠔⠖⠤⠼⠢⠖⠨⠲⠲⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: \frac-b F + 5 \frac-separator 10 \frac-e,⠇⠩⠹⠠⠋⠬⠢⠌⠂⠴⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: e \times e \times z \times P,⠇⠩⠑⠈⠡⠑⠈⠡⠵⠈⠡⠠⠏⠇⠱,Multiplication Variables,Middle
latex2nemeth: .18,⠇⠩⠼⠨⠂⠦⠇⠱,Decimal starting with point,Elementary
latex2nemeth: 87 + 75,⠇⠩⠼⠦⠶⠬⠼⠶⠢⠇⠱,Addition,Elementary
latex2nemeth: -38 + 14,⠇⠩⠤⠼⠒⠦⠬⠼⠂⠲⠇⠱,Addition,Elementary
latex2nemeth: \sqrtib 3 \sqrtie \sqrt-b 46 \sqrt-e,⠇⠩⠣⠒⠼⠲⠖⠻⠇⠱,Nth Root,Middle
latex2nemeth: (Q + 4)\superscript-b 2 \superscript-e - 1\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠠⠟⠬⠼⠲⠾⠘⠆⠐⠤⠼⠂⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: O\superscript-b 2 \superscript-e < 43,⠇⠩⠠⠕⠘⠆⠐ ⠐⠅ ⠼⠲⠒⠇⠱,Power Inequality,High
latex2nemeth: t - a - C - L,⠇⠩⠞⠤⠁⠤⠠⠉⠤⠠⠇⠇⠱,Subtraction Variables,Middle
latex2nemeth: e\superscript-b 17 \superscript-e,⠇⠩⠑⠘⠂⠶⠐⠇⠱,Exponential Equation,High
latex2nemeth: 43!,⠇⠩⠼⠲⠒⠯⠇⠱,Factorial,Middle
latex2nemeth: \arccos(293\superscript-b \circ \superscript-e),⠇⠩⠁⠗⠉⠉⠕⠎⠷⠼⠆⠔⠒⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: -65 \leq -23,⠇⠩⠤⠼⠖⠢ ⠐⠅⠱ ⠤⠼⠆⠒⠇⠱,Inequality,Middle
latex2nemeth: 9x + 5y = 73,⠇⠩⠼⠔⠭⠬⠼⠢⠽⠨⠨⠼⠶⠒⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: 7052 \div 82,⠇⠩⠼⠶⠴⠢⠆⠨⠌⠼⠦⠆⠇⠱,Division,Elementary
latex2nemeth: \sqrt-b 11 \sqrt-e,⠇⠩⠜⠂⠂⠻⠇⠱,Root,Elementary
latex2nemeth: H,⠇⠩⠠⠓⠇⠱,Variables,Middle
latex2nemeth: -2Q\superscript-b 3 \superscript-e + 3Q\superscript-b 2 \superscript-e + 4Q + -2 = 0,⠇⠩⠤⠼⠆⠠⠟⠘⠒⠐⠬⠼⠒⠠⠟⠘⠆⠐⠬⠼⠲⠠⠟⠬⠤⠼⠆⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: 3p\superscript-b 3 \superscript-e + -3p\superscript-b 2 \superscript-e + -2p + 3 = 0,⠇⠩⠼⠒⠏⠘⠒⠐⠬⠤⠼⠒⠏⠘⠆⠐⠬⠤⠼⠆⠏⠬⠼⠒⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: |m - 4| < 9,⠇⠩⠳⠍⠤⠲⠳⠼⠔⠇⠱,Absolute Value Inequality,High
latex2nemeth: 10,⠇⠩⠼⠂⠴⠇⠱,Single Digits,Elementary
latex2nemeth: \frac-b r + 2 \frac-separator 7 \frac-e,⠇⠩⠹⠗⠬⠆⠌⠶⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: 21794,⠇⠩⠼⠆⠂⠶⠔⠲⠇⠱,Large Numbers,Middle
latex2nemeth: 41n\superscript-b 2 \superscript-e + -24n + -46,⠇⠩⠼⠲⠂⠝⠘⠆⠐⠬⠤⠼⠆⠲⠝⠬⠤⠼⠲⠖⠇⠱,Quadratic Equations,High
latex2nemeth: \sqrt-b 468 \sqrt-e,⠇⠩⠜⠲⠖⠦⠻⠇⠱,Square Root,Elementary
latex2nemeth: 4.4 \div 2.76 \div 2.85 \div 5.78,⠇⠩⠼⠲⠨⠲⠨⠌⠼⠆⠨⠶⠖⠨⠌⠼⠆⠨⠦⠢⠨⠌⠼⠢⠨⠶⠦⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: M\subscript-b 868 \subscript-e,⠇⠩⠠⠍⠰⠦⠖⠦⠐⠇⠱,Subscripts,Middle
latex2nemeth: 11 \bmod 2,⠇⠩⠼⠂⠂ ⠍⠕⠙ ⠼⠆⠇⠱,Modulus,Middle
latex2nemeth: -40 + -56,⠇⠩⠤⠼⠲⠴⠬⠤⠼⠢⠖⠇⠱,Addition,Elementary
"latex2nemeth: \int 1/x \, dx",⠇⠩⠮⠼⠂⠸⠌⠭⠀⠙⠭⠇⠱,Indefinite Integral,High
latex2nemeth: \frac-b -3 \frac-separator 71 \frac-e,⠇⠩⠹⠤⠒⠌⠶⠂⠼⠇⠱,Fraction,Elementary
latex2nemeth: S \times a \times I \times L,⠇⠩⠠⠎⠈⠡⠁⠈⠡⠠⠊⠈⠡⠠⠇⠇⠱,Multiplication Variables,Middle
latex2nemeth: 7.87 \div 2.54 \div 5.27 \div 6.6,⠇⠩⠼⠶⠨⠦⠶⠨⠌⠼⠆⠨⠢⠲⠨⠌⠼⠢⠨⠆⠶⠨⠌⠼⠖⠨⠖⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: 27 + 45 + 68 + 96,⠇⠩⠼⠆⠶⠬⠼⠲⠢⠬⠼⠖⠦⠬⠼⠔⠖⠇⠱,Addition Integers,Elementary
latex2nemeth: e\superscript-b 1 \superscript-e,⠇⠩⠑⠘⠂⠐⠇⠱,Exponential,High
latex2nemeth: B \supseteq X,⠇⠩⠠⠃ ⠸⠨⠂⠱ ⠠⠭⠇⠱,Set Operations,Middle
latex2nemeth: 2\superscript-b 3 \superscript-e,⠇⠩⠼⠆⠘⠒⠐⠇⠱,Exponential,High
latex2nemeth: \frac-b -43 \frac-separator 52 \frac-e,⠇⠩⠹⠤⠲⠒⠌⠢⠆⠼⠇⠱,Fraction,Elementary
latex2nemeth: 70.73 + 48.45,⠇⠩⠼⠶⠴⠨⠶⠒⠬⠼⠲⠦⠨⠲⠢⠇⠱,Decimal Addition,Elementary
latex2nemeth: \frac-b 1 \frac-separator 10 \frac-e - \frac-b 1 \frac-separator 6 \frac-e - \frac-b 1 \frac-separator 1 \frac-e - \frac-b 1 \frac-separator 1 \frac-e,⠇⠩⠹⠂⠌⠂⠴⠼⠤⠹⠂⠌⠖⠼⠤⠹⠂⠌⠂⠼⠤⠹⠂⠌⠂⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: \frac-b 5 \frac-separator 6 \frac-e + \frac-b 2 \frac-separator 5 \frac-e + \frac-b 3 \frac-separator 5 \frac-e + \frac-b 4 \frac-separator 3 \frac-e,⠇⠩⠹⠢⠌⠖⠼⠬⠹⠆⠌⠢⠼⠬⠹⠒⠌⠢⠼⠬⠹⠲⠌⠒⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: \frac-b 28 \frac-separator 25 \frac-e,⠇⠩⠹⠆⠦⠌⠆⠢⠼⠇⠱,Fraction,Elementary
latex2nemeth: -41T\superscript-b 2 \superscript-e + -11T + 13,⠇⠩⠤⠼⠲⠂⠠⠞⠘⠆⠐⠬⠤⠼⠂⠂⠠⠞⠬⠼⠂⠒⠇⠱,Quadratic Equations,High
latex2nemeth: 68 \bmod 4,⠇⠩⠼⠖⠦ ⠍⠕⠙ ⠼⠲⠇⠱,Modulus,Middle
latex2nemeth: 54i\superscript-b 3 \superscript-e + -22i\superscript-b 2 \superscript-e + 27i + 43,⠇⠩⠼⠢⠲⠊⠘⠒⠐⠬⠤⠼⠆⠆⠊⠘⠆⠐⠬⠼⠆⠶⠊⠬⠼⠲⠒⠇⠱,Cubic Equation,High
latex2nemeth: \sin(276\superscript-b \circ \superscript-e),⠇⠩⠎⠊⠝⠷⠼⠆⠶⠖⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: 502.15,⠇⠩⠼⠢⠴⠆⠨⠂⠢⠇⠱,Decimal Double,Elementary
latex2nemeth: -12 \leq g < 3,⠇⠩⠤⠼⠂⠆ ⠐⠅⠱ ⠛ ⠐⠅ ⠼⠒⠇⠱,Compound Inequality,High
latex2nemeth: |V - 4| \geq 10,⠇⠩⠳⠠⠧⠤⠲⠳⠼⠂⠴⠇⠱,Absolute Value Inequality,High
latex2nemeth: \log\subscript-b 2 \subscript-e(36),⠇⠩⠇⠕⠛ ⠰⠆⠐⠷⠼⠒⠖⠾⠇⠱,Logarithm,High
"latex2nemeth: \int\subscript-b \infty \superscript-b 0 \superscript-e \sin x \, dx",⠇⠩⠮⠰⠿⠘⠴⠐⠎⠊⠝⠭⠀⠙⠭⠇⠱,Improper Integral,High
latex2nemeth: 41 + 41 + 46 + 52,⠇⠩⠼⠲⠂⠬⠼⠲⠂⠬⠼⠲⠖⠬⠼⠢⠆⠇⠱,Addition Integers,Elementary
latex2nemeth: |27|,⠇⠩⠳⠆⠶⠳⠇⠱,Absolute Value,Elementary
latex2nemeth: (Y + 1)\superscript-b 2 \superscript-e - 1\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠠⠽⠬⠼⠂⠾⠘⠆⠐⠤⠼⠂⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: N\superscript-b 2 \superscript-e > 14,⠇⠩⠠⠝⠘⠆⠐ ⠨⠂ ⠼⠂⠲⠇⠱,Power Inequality,High
latex2nemeth: 28h\superscript-b 3 \superscript-e + 59h\superscript-b 2 \superscript-e + -43h + -63,⠇⠩⠼⠆⠦⠓⠘⠒⠐⠬⠼⠢⠔⠓⠘⠆⠐⠬⠤⠼⠲⠒⠓⠬⠤⠼⠖⠒⠇⠱,Cubic Equation,High
latex2nemeth: 19 - 15 - 90 - 42,⠇⠩⠼⠂⠔⠤⠼⠂⠢⠤⠼⠔⠴⠤⠼⠲⠆⠇⠱,Subtraction Integers,Elementary
latex2nemeth: -16 \leq s < -3,⠇⠩⠤⠼⠂⠖ ⠐⠅⠱ ⠎ ⠐⠅ ⠤⠼⠒⠇⠱,Compound Inequality,High
latex2nemeth: e\superscript-b 5 \superscript-e,⠇⠩⠑⠘⠢⠐⠇⠱,Exponential,High
latex2nemeth: -23U\superscript-b 2 \superscript-e + 0U + -62,⠇⠩⠤⠼⠆⠒⠠⠥⠘⠆⠐⠬⠼⠴⠠⠥⠬⠤⠼⠖⠆⠇⠱,Quadratic Equations,High
latex2nemeth: x + C + k + y,⠇⠩⠭⠬⠠⠉⠬⠅⠬⠽⠇⠱,Addition Variables,Middle
latex2nemeth: \frac-b 1 \frac-separator 2 \frac-e + \frac-b 6 \frac-separator 7 \frac-e + \frac-b 5 \frac-separator 7 \frac-e + \frac-b 1 \frac-separator 1 \frac-e,⠇⠩⠹⠂⠌⠆⠼⠬⠹⠖⠌⠶⠼⠬⠹⠢⠌⠶⠼⠬⠹⠂⠌⠂⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: (J + 4)(J + 2) = 0,⠇⠩⠷⠠⠚⠬⠼⠲⠾⠷⠠⠚⠬⠼⠆⠾⠨⠨⠼⠴⠇⠱,Quadratic Factored Form,High
latex2nemeth: 9y + 5z = 14,⠇⠩⠼⠔⠽⠬⠼⠢⠵⠨⠨⠼⠂⠲⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: \frac-b 5 \frac-separator 3 \frac-e + \frac-b 2 \frac-separator 1 \frac-e + \frac-b 2 \frac-separator 3 \frac-e + \frac-b 9 \frac-separator 1 \frac-e,⠇⠩⠹⠢⠌⠒⠼⠬⠹⠆⠌⠂⠼⠬⠹⠆⠌⠒⠼⠬⠹⠔⠌⠂⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: (m + 5)(m + 4) = 0,⠇⠩⠷⠍⠬⠼⠢⠾⠷⠍⠬⠼⠲⠾⠨⠨⠼⠴⠇⠱,Quadratic Factored Form,High
latex2nemeth: J \times A \times Y \times K,⠇⠩⠠⠚⠈⠡⠠⠁⠈⠡⠠⠽⠈⠡⠠⠅⠇⠱,Multiplication Variables,Middle
latex2nemeth: 5.21 \div 6.76 \div 6.29 \div 4.27,⠇⠩⠼⠢⠨⠆⠂⠨⠌⠼⠖⠨⠶⠖⠨⠌⠼⠖⠨⠆⠔⠨⠌⠼⠲⠨⠆⠶⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: u + C + B + Y,⠇⠩⠥⠬⠠⠉⠬⠠⠃⠬⠠⠽⠇⠱,Addition Variables,Middle
latex2nemeth: 1c + 22 > -29,⠇⠩⠼⠂⠉⠬⠼⠆⠆ ⠨⠂ ⠤⠼⠆⠔⠇⠱,Variable Inequality,Middle
latex2nemeth: 91 - 43 - 36 - 62,⠇⠩⠼⠔⠂⠤⠼⠲⠒⠤⠼⠒⠖⠤⠼⠖⠆⠇⠱,Subtraction Integers,Elementary
latex2nemeth: e\superscript-b 3 \superscript-e,⠇⠩⠑⠘⠒⠐⠇⠱,Exponential,High
latex2nemeth: 47 + 9 + 84 + 58,⠇⠩⠼⠲⠶⠬⠼⠔⠬⠼⠦⠲⠬⠼⠢⠦⠇⠱,Addition Integers,Elementary
latex2nemeth: 8!,⠇⠩⠼⠦⠯⠇⠱,Factorial,Middle
"latex2nemeth: \int\subscript-b 3 \superscript-b 8 \superscript-e x\superscript-b 2 \superscript-e \, dy",⠇⠩⠮⠰⠒⠘⠦⠐⠭⠘⠆⠐⠙⠽⠇⠱,Definite Integral,High
latex2nemeth: \frac-b 5 \frac-separator 2 \frac-e \div \frac-b 6 \frac-separator 5 \frac-e \div \frac-b 3 \frac-separator 4 \frac-e \div \frac-b 8 \frac-separator 3 \frac-e,⠇⠩⠹⠢⠌⠆⠼⠨⠌⠹⠖⠌⠢⠼⠨⠌⠹⠒⠌⠲⠼⠨⠌⠹⠦⠌⠒⠼⠇⠱,Division Fractions,Middle
latex2nemeth: 6072 \div 92,⠇⠩⠼⠖⠴⠶⠆⠨⠌⠼⠔⠆⠇⠱,Division,Elementary
latex2nemeth: 1x + 1x = 50,⠇⠩⠼⠂⠭⠬⠼⠂⠭⠨⠨⠼⠢⠴⠇⠱,Linear Equation Mult Vars,Middle
"latex2nemeth: \int\subscript-b 5 \superscript-b 9 \superscript-e 1/x \, dy",⠇⠩⠮⠰⠢⠘⠔⠐⠼⠂⠸⠌⠭⠀⠙⠽⠇⠱,Definite Integral,High
latex2nemeth: 73 + 52 + 77 + 70,⠇⠩⠼⠶⠒⠬⠼⠢⠆⠬⠼⠶⠶⠬⠼⠶⠴⠇⠱,Addition Integers,Elementary
latex2nemeth: \frac-b j + 2 \frac-separator 9 \frac-e,⠇⠩⠹⠚⠬⠆⠌⠔⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: e\superscript-b 75 \superscript-e,⠇⠩⠑⠘⠶⠢⠐⠇⠱,Exponential Equation,High
latex2nemeth: 3948 \div 84,⠇⠩⠼⠒⠔⠲⠦⠨⠌⠼⠦⠲⠇⠱,Division,Elementary
latex2nemeth: -81051,⠇⠩⠤⠼⠦⠂⠴⠢⠂⠇⠱,Large Numbers,Middle
latex2nemeth: \alpha,⠇⠩⠨⠁⠇⠱,Greek Letters,Middle
latex2nemeth: 5.86 \div 5.03 \div 2.66 \div 8.02,⠇⠩⠼⠢⠨⠦⠖⠨⠌⠼⠢⠨⠴⠒⠨⠌⠼⠆⠨⠖⠖⠨⠌⠼⠦⠨⠴⠆⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: 21.25 + 62.64 + 12.91 + 49.42,⠇⠩⠼⠆⠂⠨⠆⠢⠬⠼⠖⠆⠨⠖⠲⠬⠼⠂⠆⠨⠔⠂⠬⠼⠲⠔⠨⠲⠆⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: 9.48 + 63.58 + 23.01 + 50.67,⠇⠩⠼⠔⠨⠲⠦⠬⠼⠖⠒⠨⠢⠦⠬⠼⠆⠒⠨⠴⠂⠬⠼⠢⠴⠨⠖⠶⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: 10,⠇⠩⠼⠂⠴⠇⠱,Single Digits,Elementary
latex2nemeth: 2y + -54 < -18,⠇⠩⠼⠆⠽⠬⠤⠼⠢⠲ ⠐⠅ ⠤⠼⠂⠦⠇⠱,Variable Inequality,Middle
latex2nemeth: \Qoppa,⠇⠩⠨⠠⠟⠇⠱,Greek Letters,Middle
latex2nemeth: -15 \leq b < -1,⠇⠩⠤⠼⠂⠢ ⠐⠅⠱ ⠃ ⠐⠅ ⠤⠼⠂⠇⠱,Compound Inequality,High
latex2nemeth: \frac-b 8 \frac-separator 3 \frac-e + \frac-b 8 \frac-separator 9 \frac-e + \frac-b 3 \frac-separator 2 \frac-e + \frac-b 9 \frac-separator 5 \frac-e,⠇⠩⠹⠦⠌⠒⠼⠬⠹⠦⠌⠔⠼⠬⠹⠒⠌⠆⠼⠬⠹⠔⠌⠢⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: 14 \mixedfrac-b 1 \frac-separator 3 \mixedfrac-e,⠇⠩⠼⠂⠲⠸⠹⠂⠌⠒⠸⠼⠇⠱,Mixed fraction,Elementary
latex2nemeth: H \div a \div s \div k,⠇⠩⠠⠓⠨⠌⠁⠨⠌⠎⠨⠌⠅⠇⠱,Division Variables,Middle
latex2nemeth: \frac-b 2 \frac-separator 5 \frac-e + \frac-b 8 \frac-separator 7 \frac-e + \frac-b 1 \frac-separator 1 \frac-e + \frac-b 5 \frac-separator 2 \frac-e,⠇⠩⠹⠆⠌⠢⠼⠬⠹⠦⠌⠶⠼⠬⠹⠂⠌⠂⠼⠬⠹⠢⠌⠆⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: -75 + -34,⠇⠩⠤⠼⠶⠢⠬⠤⠼⠒⠲⠇⠱,Addition,Elementary
latex2nemeth: 5,⠇⠩⠼⠢⠇⠱,Single Digits,Elementary
latex2nemeth: \frac-b 1 \frac-separator 1 \frac-e \times \frac-b 9 \frac-separator 4 \frac-e \times \frac-b 4 \frac-separator 3 \frac-e \times \frac-b 7 \frac-separator 3 \frac-e,⠇⠩⠹⠂⠌⠂⠼⠈⠡⠹⠔⠌⠲⠼⠈⠡⠹⠲⠌⠒⠼⠈⠡⠹⠶⠌⠒⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 86.16 - 85.49 - 97.09 - 43.83,⠇⠩⠼⠦⠖⠨⠂⠖⠤⠼⠦⠢⠨⠲⠔⠤⠼⠔⠶⠨⠴⠔⠤⠼⠲⠒⠨⠦⠒⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: .47,⠇⠩⠼⠨⠲⠶⠇⠱,Decimal starting with point,Elementary
latex2nemeth: F\superscript-b 2 \superscript-e \geq 30,⠇⠩⠠⠋⠘⠆⠐ ⠨⠂⠱ ⠼⠒⠴⠇⠱,Power Inequality,High
latex2nemeth: w\subscript-b 867 \subscript-e,⠇⠩⠺⠰⠦⠖⠶⠐⠇⠱,Subscripts,Middle
latex2nemeth: \frac-b 10 \frac-separator 3 \frac-e \times \frac-b 7 \frac-separator 1 \frac-e \times \frac-b 3 \frac-separator 4 \frac-e \times \frac-b 9 \frac-separator 10 \frac-e,⠇⠩⠹⠂⠴⠌⠒⠼⠈⠡⠹⠶⠌⠂⠼⠈⠡⠹⠒⠌⠲⠼⠈⠡⠹⠔⠌⠂⠴⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: k + 69 = 75,⠇⠩⠅⠬⠼⠖⠔⠨⠨⠼⠶⠢⠇⠱,Variable Expression,Middle
latex2nemeth: .20,⠇⠩⠼⠨⠆⠴⠇⠱,Decimal starting with point,Elementary
latex2nemeth: g + Y + T + l,⠇⠩⠛⠬⠠⠽⠬⠠⠞⠬⠇⠇⠱,Addition Variables,Middle
latex2nemeth: 0,⠇⠩⠼⠴⠇⠱,Single Digits,Elementary
latex2nemeth: \sqrtib {32} \sqrtie \sqrt-b 50 \sqrt-e,⠇⠩⠣⠒⠆⠼⠢⠴⠻⠇⠱,Cube Root,Middle
latex2nemeth: \frac-b 2 \frac-separator 1 \frac-e + \frac-b 2 \frac-separator 5 \frac-e + \frac-b 2 \frac-separator 3 \frac-e + \frac-b 3 \frac-separator 1 \frac-e,⠇⠩⠹⠆⠌⠂⠼⠬⠹⠆⠌⠢⠼⠬⠹⠆⠌⠒⠼⠬⠹⠒⠌⠂⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: 5,⠇⠩⠼⠢⠇⠱,Single Digits,Elementary
latex2nemeth: \frac-b 3 \frac-separator 5 \frac-e - \frac-b 2 \frac-separator 3 \frac-e - \frac-b 1 \frac-separator 1 \frac-e - \frac-b 1 \frac-separator 1 \frac-e,⠇⠩⠹⠒⠌⠢⠼⠤⠹⠆⠌⠒⠼⠤⠹⠂⠌⠂⠼⠤⠹⠂⠌⠂⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: \cosh(324\superscript-b \circ \superscript-e),⠇⠩⠉⠕⠎⠓ ⠷⠼⠒⠆⠲⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: 77,⠇⠩⠼⠶⠶⠇⠱,Double Digits,Elementary
latex2nemeth: -5 < h < 3,⠇⠩⠤⠼⠢ ⠐⠅ ⠓ ⠐⠅ ⠼⠒⠇⠱,Compound Inequality,High
latex2nemeth: 993,⠇⠩⠼⠔⠔⠒⠇⠱,Three Digits,Elementary
latex2nemeth: -51 \times 76,⠇⠩⠤⠼⠢⠂⠈⠡⠼⠶⠖⠇⠱,Multiplication,Elementary
latex2nemeth: K + y + l + e,⠇⠩⠠⠅⠬⠽⠬⠇⠬⠑⠇⠱,Addition Variables,Middle
latex2nemeth: .27,⠇⠩⠼⠨⠆⠶⠇⠱,Decimal starting with point,Elementary
latex2nemeth: 72t\superscript-b 3 \superscript-e + -70t\superscript-b 2 \superscript-e + -91t + 56,⠇⠩⠼⠶⠆⠞⠘⠒⠐⠬⠤⠼⠶⠴⠞⠘⠆⠐⠬⠤⠼⠔⠂⠞⠬⠼⠢⠖⠇⠱,Cubic Equation,High
latex2nemeth: 920 \div 46,⠇⠩⠼⠔⠆⠴⠨⠌⠼⠲⠖⠇⠱,Division,Elementary
latex2nemeth: 0 \bmod 5,⠇⠩⠼⠴ ⠍⠕⠙ ⠼⠢⠇⠱,Modulus,Middle
latex2nemeth: q\subscript-b 862 \subscript-e,⠇⠩⠟⠰⠦⠖⠆⠐⠇⠱,Subscripts,Middle
latex2nemeth: -73m\superscript-b 3 \superscript-e + 27m\superscript-b 2 \superscript-e + 91m + 92,⠇⠩⠤⠼⠶⠒⠍⠘⠒⠐⠬⠼⠆⠶⠍⠘⠆⠐⠬⠼⠔⠂⠍⠬⠼⠔⠆⠇⠱,Cubic Equation,High
latex2nemeth: (p + 5)\superscript-b 2 \superscript-e - 3\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠏⠬⠼⠢⠾⠘⠆⠐⠤⠼⠒⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: x + Y + K + w,⠇⠩⠭⠬⠠⠽⠬⠠⠅⠬⠺⠇⠱,Addition Variables,Middle
latex2nemeth: 59 + 53 + 20 + 2,⠇⠩⠼⠢⠔⠬⠼⠢⠒⠬⠼⠆⠴⠬⠼⠆⠇⠱,Addition Integers,Elementary
latex2nemeth: v,⠇⠩⠧⠇⠱,Variables,Middle
latex2nemeth: .14,⠇⠩⠼⠨⠂⠲⠇⠱,Decimal starting with point,Elementary
latex2nemeth: -61 \times 39,⠇⠩⠤⠼⠖⠂⠈⠡⠼⠒⠔⠇⠱,Multiplication,Elementary
latex2nemeth: w \div P \div S \div j,⠇⠩⠺⠨⠌⠠⠏⠨⠌⠠⠎⠨⠌⠚⠇⠱,Division Variables,Middle
latex2nemeth: -28 \times 11,⠇⠩⠤⠼⠆⠦⠈⠡⠼⠂⠂⠇⠱,Multiplication,Elementary
latex2nemeth: 45,⠇⠩⠼⠲⠢⠇⠱,Double Digits,Elementary
latex2nemeth: 2\superscript-b 42 \superscript-e,⠇⠩⠼⠆⠘⠲⠆⠐⠇⠱,Exponential Equation,High
latex2nemeth: -1 \leq a < 3,⠇⠩⠤⠼⠂ ⠐⠅⠱ ⠁ ⠐⠅ ⠼⠒⠇⠱,Compound Inequality,High
latex2nemeth: \tan(44\superscript-b \circ \superscript-e),⠇⠩⠞⠁⠝⠷⠼⠲⠲⠘⠨⠡⠐⠾⠇⠱,Trig,High
